Format Version,1.22,Take Name,Take 2019-12-05 02.58.00 PM,Capture Frame Rate,59.998657,Export Frame Rate,60.000000,Capture Start Time,2019-12-05 02.58.01.499 PM,Total Frames in Take,5414,Total Exported Frames,5414,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-0.719280,0.092837,-0.108517,-0.679884,-0.189431,0.878571,0.919250,0.000361,-0.208216,0.899991,0.945401,0.881366,-0.207337,0.850485,0.901233,0.906254,-0.170814,0.910446,0.919010,0.000000,-0.171357,0.853363,0.911355,0.900920,-0.208258,0.899831,0.945249,-0.207645,0.850709,0.901369,,,,-0.171027,0.853314,0.911380,0.210524,0.847849,1.871212,-2.130450,0.134381,-0.819168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.116667,-0.718964,0.096399,-0.113300,-0.678942,-0.189993,0.879270,0.917363,0.000550,-0.209123,0.900640,0.943304,0.935133,-0.207640,0.851172,0.899110,0.869438,-0.171424,0.911174,0.917371,0.000000,-0.171788,0.854096,0.909665,0.924740,-0.208998,0.900323,0.943047,-0.207985,0.851314,0.899162,,,,-0.171570,0.854272,0.909871,0.210612,0.847659,1.871270,-2.130366,0.134506,-0.819311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.133333,-0.724073,0.100836,-0.113979,-0.672725,-0.190778,0.880098,0.916128,0.000200,-0.210026,0.901090,0.942289,0.866660,-0.208379,0.852364,0.897284,0.857359,-0.172113,0.911939,0.916801,0.000000,-0.172594,0.855000,0.908137,0.863089,-0.210031,0.900986,0.942191,-0.208537,0.852476,0.897350,,,,-0.172436,0.854997,0.908170,0.210617,0.847742,1.871223,-2.130279,0.134644,-0.819442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.150000,-0.723977,0.096403,-0.105589,-0.674845,-0.191547,0.880544,0.914425,0.000366,-0.210194,0.901704,0.940885,0.960442,-0.209642,0.852859,0.895982,0.930325,-0.172702,0.912285,0.914672,0.000000,-0.173649,0.855328,0.906164,0.958978,-0.210457,0.901878,0.940987,-0.209696,0.853001,0.896101,,,,-0.173318,0.854988,0.905923,0.210487,0.847771,1.871253,-2.130210,0.134499,-0.819444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.166667,-0.725038,0.100035,-0.111684,-0.672190,-0.192474,0.880687,0.913530,0.000365,-0.211569,0.901647,0.939827,0.893382,-0.210205,0.853025,0.894700,0.967559,-0.173755,0.912495,0.914194,0.000000,-0.174367,0.855578,0.905398,0.864475,-0.211673,0.901576,0.939736,-0.210444,0.853227,0.894833,,,,-0.174025,0.855452,0.905359,0.210779,0.847461,1.871093,-2.130153,0.134491,-0.819546,-1.686934,0.324444,-0.642592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.183333,-0.726951,0.102600,-0.117537,-0.668731,-0.193376,0.880626,0.912721,0.000510,-0.212902,0.901301,0.938929,0.923976,-0.210728,0.853005,0.893485,0.894686,-0.174836,0.912528,0.913835,0.000000,-0.175037,0.855670,0.904637,0.907380,-0.213139,0.900957,0.938544,-0.210802,0.853642,0.894073,,,,-0.174778,0.855422,0.904463,0.210849,0.847380,1.871141,-2.130105,0.134405,-0.819669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.200000,-0.725782,0.106752,-0.122149,-0.668524,-0.193929,0.880071,0.911404,0.000467,-0.213782,0.900779,0.937339,0.814771,-0.211039,0.852427,0.891985,0.822290,-0.175402,0.911973,0.912712,0.000000,-0.175491,0.855104,0.903582,0.980740,-0.213818,0.900409,0.936977,-0.211123,0.852841,0.892358,,,,-0.175384,0.855051,0.903558,0.210792,0.847483,1.871117,-2.130070,0.134324,-0.819853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.216667,-0.725703,0.100174,-0.120319,-0.669958,-0.194640,0.879575,0.910626,0.000215,-0.214327,0.900239,0.936722,0.828524,-0.211790,0.851750,0.891502,0.861685,-0.176316,0.911605,0.911609,0.000000,-0.176127,0.854706,0.902672,0.959184,-0.214427,0.900304,0.936761,-0.211897,0.851797,0.891522,,,,-0.175912,0.854589,0.902611,0.210533,0.847775,1.871266,-2.130051,0.134205,-0.819967,,,,-1.930558,0.142338,-0.637528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.233333,-0.725987,0.104318,-0.117166,-0.669577,-0.194526,0.879341,0.909998,0.000588,-0.214030,0.900136,0.936127,0.953276,-0.211937,0.851740,0.890786,0.962918,-0.175881,0.911182,0.911080,0.000000,-0.176258,0.854308,0.901997,0.922786,-0.214116,0.899749,0.935739,-0.211881,0.852251,0.891283,,,,-0.176232,0.854199,0.901900,0.210671,0.847747,1.871235,-2.130114,0.134235,-0.820266,,,,-1.977473,0.137973,-0.643054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.250000,-0.725264,0.103513,-0.115096,-0.670843,-0.194901,0.878697,0.909420,0.000468,-0.214253,0.899599,0.935577,0.809380,-0.212449,0.851083,0.890352,0.813039,-0.176186,0.910502,0.910343,0.000000,-0.176718,0.853606,0.901408,0.936427,-0.214206,0.899268,0.935277,-0.212612,0.851352,0.890566,,,,-0.176607,0.853654,0.901481,0.210820,0.847372,1.871181,-2.130229,0.134046,-0.820411,-1.845525,0.247210,-0.660832,-2.025786,0.133920,-0.649153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
